candidate_name,year,election_type,office,party,double_checked,source
"PARUNGAO, JON",2000,GENERAL,ASSEMBLY 79,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CARDULLA, RICHARD J.",2000,GENERAL,ASSEMBLY 79,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KELLEY, DAVID G.",2000,GENERAL,ASSEMBLY 80,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WEBER, SUSAN MARIE",2000,GENERAL,ASSEMBLY 80,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"OLLER, THOMAS",2000,GENERAL,STATE SENATE 01,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PETERSEN, JON",2000,GENERAL,STATE SENATE 01,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ROMERO, THOMAS ""TOM""",2000,GENERAL,STATE SENATE 01,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"JOKI, CELESTE JOY BLAU",2000,GENERAL,STATE SENATE 03,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FAULKNER, TERRENCE",2000,GENERAL,STATE SENATE 03,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BROW, CAROLE",2000,GENERAL,STATE SENATE 05,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NICOLAS, WILLIAM S.",2000,GENERAL,STATE SENATE 05,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"TORLAKSON, TOM",2000,GENERAL,STATE SENATE 07,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RAINEY, DICK",2000,GENERAL,STATE SENATE 07,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BILLINGS, MARK",2000,GENERAL,STATE SENATE 07,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"EYER, JAMES M.",2000,GENERAL,STATE SENATE 09,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MARSHALL, LINDA J.",2000,GENERAL,STATE SENATE 09,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SHER, BYRON",2000,GENERAL,STATE SENATE 11,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HICKEY, JOHN J.",2000,GENERAL,STATE SENATE 11,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LONGWELL, JOHN",2000,GENERAL,STATE SENATE 13,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VASCONCELLOS, JOHN",2000,GENERAL,STATE SENATE 13,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WEBSTER, JOHN H.",2000,GENERAL,STATE SENATE 13,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MC PHERSON, BRUCE",2000,GENERAL,STATE SENATE 15,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ROSENKRANZ, DAVID",2000,GENERAL,STATE SENATE 15,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SACHTJEN, GORDON D.",2000,GENERAL,STATE SENATE 15,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CHAVEZ, ANSELMO A.",2000,GENERAL,STATE SENATE 15,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KNIGHT, WILLIAM J. ""PETE""",2000,GENERAL,STATE SENATE 17,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LOTT, RICHARD",2000,GENERAL,STATE SENATE 17,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GIBSON, JOHN R.",2000,GENERAL,STATE SENATE 17,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WALLACK, DOUGLAS R.",2000,GENERAL,STATE SENATE 17,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MC CLINTOCK, THOMAS",2000,GENERAL,STATE SENATE 19,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GONZALEZ, DANIEL R.",2000,GENERAL,STATE SENATE 19,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SCOTT, JACK",2000,GENERAL,STATE SENATE 21,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NEW, BOB",2000,GENERAL,STATE SENATE 21,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KUEHL, SHEILA J.",2000,GENERAL,STATE SENATE 23,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BLACK, CHARLES T.",2000,GENERAL,STATE SENATE 23,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MC CLAIN, CLIFF",2000,GENERAL,STATE SENATE 25,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VINCENT, EDWARD",2000,GENERAL,STATE SENATE 25,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KARNETTE, BETTY",2000,GENERAL,STATE SENATE 27,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FAEGRE, LELAND THOMAS",2000,GENERAL,STATE SENATE 29,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MARGETT, ROBERT",2000,GENERAL,STATE SENATE 29,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RAYBURN, MIKE",2000,GENERAL,STATE SENATE 31,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BRULTE, JAMES L.",2000,GENERAL,STATE SENATE 31,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WARD, FRITZ R.",2000,GENERAL,STATE SENATE 31,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CHACON, MICHAEL",2000,GENERAL,STATE SENATE 33,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VERKAMP, WM. (BILL)",2000,GENERAL,STATE SENATE 33,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ACKERMAN, RICHARD",2000,GENERAL,STATE SENATE 33,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ROBERTS, JACK",2000,GENERAL,STATE SENATE 33,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KATZ, CINDY",2000,GENERAL,STATE SENATE 35,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"STUDIER, PAUL L.",2000,GENERAL,STATE SENATE 35,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"JOHNSON, ROSS",2000,GENERAL,STATE SENATE 35,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RAY, STEVE",2000,GENERAL,STATE SENATE 35,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BATTIN JR., JAMES F.",2000,GENERAL,STATE SENATE 37,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"TELLO, DONNA",2000,GENERAL,STATE SENATE 37,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ALPERT, DEDE",2000,GENERAL,STATE SENATE 39,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KNOLES, STUART",2000,GENERAL,STATE SENATE 39,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NICHOLS, RUSTY",2000,GENERAL,STATE SENATE 39,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KNOLES, STUART",2000,PRIMARY,STATE SENATE 39,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NICHOLS, RUSTY",2000,PRIMARY,STATE SENATE 39,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"STROM-MARTIN, VIRGINIA",2000,PRIMARY,ASSEMBLY 01,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GILLEO, JOSHUA",2000,PRIMARY,ASSEMBLY 01,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LAMPSON, MIKE",2000,PRIMARY,ASSEMBLY 01,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"THIESSEN, PATRICE",2000,PRIMARY,ASSEMBLY 02,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DICKERSON, RICHARD ""DICK""",2000,PRIMARY,ASSEMBLY 02,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BRET, PETE ANTHONY",2000,PRIMARY,ASSEMBLY 02,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PARKS, VIRGIL",2000,PRIMARY,ASSEMBLY 02,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"THOMASON, WILLIAM L.",2000,PRIMARY,ASSEMBLY 03,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MACOLA, STEPHEN A.",2000,PRIMARY,ASSEMBLY 04,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FRAZIER, GENE",2000,PRIMARY,ASSEMBLY 05,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"COX, DAVE",2000,PRIMARY,ASSEMBLY 05,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NAVE, PAUL",2000,PRIMARY,ASSEMBLY 06,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"EGGER, FRANK",2000,PRIMARY,ASSEMBLY 06,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SULLIVAN, ED",2000,PRIMARY,ASSEMBLY 06,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GIBSON, JACK",2000,PRIMARY,ASSEMBLY 06,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CRANE, BASIA",2000,PRIMARY,ASSEMBLY 06,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"OLMSTEAD, RICHARD",2000,PRIMARY,ASSEMBLY 06,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ADAMS, SUSAN L.",2000,PRIMARY,ASSEMBLY 06,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WIGGINS, PATRICIA ANN",2000,PRIMARY,ASSEMBLY 07,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SCHOEFFLER, WILLIAM",2000,PRIMARY,ASSEMBLY 07,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"RIVERA, PEDRO J.",2000,PRIMARY,ASSEMBLY 07,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WILSON II, ROBERT W.",2000,PRIMARY,ASSEMBLY 08,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"THOMSON, HELEN M. (501WITHDRAWN)",2000,PRIMARY,ASSEMBLY 08,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SAUNDERS, BRUCE B.",2000,PRIMARY,ASSEMBLY 09,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BERGERON, JAN L.",2000,PRIMARY,ASSEMBLY 09,GREEN PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HARGRAVE, CHARLES",2000,PRIMARY,ASSEMBLY 09,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PESCETTI, ANTHONY",2000,PRIMARY,ASSEMBLY 10,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KOHLHEPP, TOM",2000,PRIMARY,ASSEMBLY 10,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROSAS, LOU",2000,GENERAL,ASSEMBLY 11,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DIAZ, JIM",2000,PRIMARY,ASSEMBLY 11,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MANSKE, FRANK J.",2000,PRIMARY,ASSEMBLY 11,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROSAS, LOU",2000,PRIMARY,ASSEMBLY 11,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHELLEY, KEVIN",2000,PRIMARY,ASSEMBLY 12,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"EPSTEIN, HOWARD",2000,PRIMARY,ASSEMBLY 12,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MIGDEN, CAROLE",2000,PRIMARY,ASSEMBLY 13,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
STARCHILD,2000,PRIMARY,ASSEMBLY 13,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LANE, BOB",2000,PRIMARY,ASSEMBLY 13,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NEIRA, GAIL E.",2000,PRIMARY,ASSEMBLY 13,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"UDINSKY, JERALD",2000,PRIMARY,ASSEMBLY 14,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BURTON, DANIEL C.",2000,PRIMARY,ASSEMBLY 14,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ARONER, DION LOUISE",2000,PRIMARY,ASSEMBLY 14,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LEACH, LYNNE C.",2000,PRIMARY,ASSEMBLY 15,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ARMSTRONG, RICHARD E.",2000,PRIMARY,ASSEMBLY 16,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC CORMICK, TIMOTHY B.",2000,PRIMARY,ASSEMBLY 16,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BUSCH, ROY W.",2000,PRIMARY,ASSEMBLY 17,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"STEBBINS, C. JENNET",2000,PRIMARY,ASSEMBLY 17,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BENIGNO, THOMAS A.",2000,PRIMARY,ASSEMBLY 17,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CORBETT, ELLEN",2000,PRIMARY,ASSEMBLY 18,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MAHMOOD, SYED",2000,PRIMARY,ASSEMBLY 18,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KASSEL, STEVEN H.",2000,PRIMARY,ASSEMBLY 19,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PAPAN, LOU",2000,PRIMARY,ASSEMBLY 19,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SIX, PAUL J.",2000,PRIMARY,ASSEMBLY 19,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LUNDRY, STEVE C.",2000,PRIMARY,ASSEMBLY 19,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KING, LOWELL",2000,PRIMARY,ASSEMBLY 20,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WERLWAS, MARK",2000,PRIMARY,ASSEMBLY 20,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DUTRA, JOHN A.",2000,PRIMARY,ASSEMBLY 20,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SIMITIAN, S. JOSEPH",2000,PRIMARY,ASSEMBLY 21,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PURCELL, GLORIA",2000,PRIMARY,ASSEMBLY 21,GREEN PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KAWCZYNSKI, STAN",2000,PRIMARY,ASSEMBLY 22,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ALBRECHT, DANA W.",2000,PRIMARY,ASSEMBLY 23,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NEIGHBORS, DAVID J.",2000,PRIMARY,ASSEMBLY 23,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BUZO, FRED",2000,PRIMARY,ASSEMBLY 23,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GLICKMAN, STEVE",2000,PRIMARY,ASSEMBLY 24,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
COURTRIGHT DONNA,2000,PRIMARY,ASSEMBLY 24,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"STRONG, RAY",2000,PRIMARY,ASSEMBLY 24,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ZWICKEL, JONATHAN IRA",2000,PRIMARY,ASSEMBLY 25,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DEKLINSKI, BOB",2000,PRIMARY,ASSEMBLY 25,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HARRISON, RUSSELL A.",2000,PRIMARY,ASSEMBLY 25,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SANCHEZ, MARSHALL",2000,PRIMARY,ASSEMBLY 26,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CARDOZA, DENNIS",2000,PRIMARY,ASSEMBLY 26,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BONINO, DAVID R.",2000,PRIMARY,ASSEMBLY 27,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DE JOLY, MADELINE",2000,PRIMARY,ASSEMBLY 27,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CARTER, CHARLES ""CHUCK""",2000,PRIMARY,ASSEMBLY 27,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VER, ROGER",2000,PRIMARY,ASSEMBLY 28,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VOGEL, JOHN",2000,PRIMARY,ASSEMBLY 28,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DRIOANE, RON",2000,PRIMARY,ASSEMBLY 29,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BRIGGS, MIKE",2000,PRIMARY,ASSEMBLY 29,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"REID, LITA",2000,PRIMARY,ASSEMBLY 29,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FLOREZ, DEAN",2000,PRIMARY,ASSEMBLY 30,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"REYES, SARAH",2000,PRIMARY,ASSEMBLY 31,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CABRAL, RICHARD GUERRA",2000,PRIMARY,ASSEMBLY 31,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GURROLA, VIRGINIA",2000,PRIMARY,ASSEMBLY 32,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ASHBURN, ROY",2000,PRIMARY,ASSEMBLY 32,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HOULGATE, LAURENCE",2000,PRIMARY,ASSEMBLY 33,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MALDONADO, ABEL",2000,PRIMARY,ASSEMBLY 33,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CONAWAY, ROBERT ""BOB""",2000,PRIMARY,ASSEMBLY 34,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DAHL, ERIC",2000,PRIMARY,ASSEMBLY 35,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NORRDIN, DAVID L.",2000,PRIMARY,ASSEMBLY 35,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"JACKSON, HANNAH-BETH",2000,PRIMARY,ASSEMBLY 35,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CALDERON, PAULA L.",2000,PRIMARY,ASSEMBLY 36,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"RUNNER, GEORGE C.",2000,PRIMARY,ASSEMBLY 36,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BASHEM, GREGORY JAMES",2000,PRIMARY,ASSEMBLY 36,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHARKEY, JON",2000,PRIMARY,ASSEMBLY 37,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MICHLIN, WILLARD D.",2000,PRIMARY,ASSEMBLY 37,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"STRICKLAND, TONY",2000,PRIMARY,ASSEMBLY 37,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LAURITZEN, JON M.",2000,PRIMARY,ASSEMBLY 38,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALKER, NORM",2000,PRIMARY,ASSEMBLY 38,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BARON, PHILIP",2000,PRIMARY,ASSEMBLY 38,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MAIRA, CHRISTOPHER ""KIT""",2000,PRIMARY,ASSEMBLY 39,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CARDENAS, TONY",2000,PRIMARY,ASSEMBLY 39,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VALDEZ, ENRIQUE (HENRY)",2000,PRIMARY,ASSEMBLY 39,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROSS, KELLEY L.",2000,PRIMARY,ASSEMBLY 40,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HERTZBERG, ROBERT",2000,PRIMARY,ASSEMBLY 40,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HAMMANS, KYLE",2000,PRIMARY,ASSEMBLY 40,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DE LEUW, EUNICE",2000,PRIMARY,ASSEMBLY 40,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GOTTFRIED, BRENDA F.",2000,PRIMARY,ASSEMBLY 41,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHAPIRO, JAYNE M.",2000,PRIMARY,ASSEMBLY 41,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLACE, WILLIAM (BILL)",2000,PRIMARY,ASSEMBLY 41,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GOLDMAN, COLIN S.",2000,PRIMARY,ASSEMBLY 41,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"STITCH, STEFAN ""STU""",2000,PRIMARY,ASSEMBLY 41,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
